bodyId,LC17,LPLC1,LT79,LC16,Li19,mALC1,LC12,LPLC2,Li11,LC6,LC25,LT69,LC9,LC4,LC11,LT1,LC14,LC21,Li16,LC39,LT62,LT83,LC31,DNp11,LC24,Li20,LC10,LC26,mALC2,LT56,LC18,PLP244,LC20,Li13,LC22,LT11,LT58,LC13,LT34,LC15,Li14,LT61,Li15,OA-ASM1,Li12,LT77,CL285,LC28b,IB085,LC33,IB112,LT85,IB088,CL033,DNp27,LPLC4,Li17,LT51,LT55,PS273,LT87,LC28a,LT41,PVLP132,LC29,MC64,LT74,LC32,PLP030,LT35,LT68,PS179,PLP091,AVLP391,PLP098,LT65,LT73,PLP168,LT57,LT82a,mALD2,CT1,aMe20,PLP031,LT52,IB119,PLP240,PLP105,LC36,LT80,PS104,LC40a,LT36,PLP051,LC35,LC38,LT75,PLP183,Li18,LT66,LT38,MC61,5-HTPMPV03,IB006,PLP125,PLP153,LT42,LT46,LT63,LT33,LC37a,LC41,LC46b,LT44b,mALC3,LC27,VES080,VES044,LT40,LT45,LLPC3,WED068,LPC2,LT67,LT72,LT47,std1,std2,std3,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,label,Putative cell type
2149305537,12,4,0,0,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62820038,3.518518202,2.292231922,19,62,0,0,0,0,0,0,0,0,0,1,other
2153014283,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.231711282,1.234156199,1.582557561,3,48,0,0,0,0,0,0,0,0,0,1,T3
2277161602,5,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.851567945,1.062501195,1.723588796,11,35,0,0,0,0,0,0,0,0,0,1,T3
1747850610,17,5,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.984934733,1.91673226,1.678442816,4,56,0,0,0,0,0,0,0,0,0,1,T3
1745826040,0,8,0,0,0,0,2,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.199355779,1.532100661,0.566958266,9,55,0,0,0,0,0,0,0,0,0,1,T2
1746163735,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.335587873,1.264754289,0.911734507,15,40,0,0,0,0,0,0,0,0,0,1,T2
2462046122,0,7,0,0,0,0,2,0,0,0,0,0,0,13,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.228885446,2.224853408,1.586165325,3,36,0,0,0,0,0,0,0,0,0,1,other
1375086576,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011527918,1.664363044,1.674896792,13,40,0,0,0,0,0,0,0,0,0,1,T3
2431007012,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.559951612,1.710320729,2.053381314,7,36,0,0,0,0,0,0,0,0,0,1,other
1498893207,12,3,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.142981271,2.042424169,1.712062962,1,49,3,0,0,0,0,0,0,0,0,1,T3
